id	name	sumary	desciption	rating	reviewCount	popularity	tags	openTime	closeTime	priceVND	houseNumber	street	   ward	district	city	Tọa độ	URL	phone	Img name	dwell	Img url
74	Chùa Bà Thiên Hậu (Bà Bình Dương)	Lễ hội Rước Kiệu Bà lớn nhất vùng.	Điểm tín ngưỡng linh thiêng của người Hoa, nổi tiếng với lễ hội rằm tháng Giêng thu hút hàng trăm ngàn người.	4.7	3200	97	Tôn giáo	06:00	18:00	0	4	Nguyễn Du	Phường Phú Cường	TP. Thủ Dầu Một	Bình Dương	10.981741892966852, 106.65593246722305	https://www.google.com/maps/place/Thien+Hau+Temple/@10.9816155,106.6438089,15z/data=!4m10!1m2!2m1!1zQ2jDuWEgQsOgIFRoacOqbiBI4bqtdSAoQsOgIELDrG5oIETGsMahbmcp!3m6!1s0x3174d1b386a47965:0xa6d52d2ce8396445!8m2!3d10.9807699!4d106.6547799!15sCipDaMO5YSBCw6AgVGhpw6puIEjhuq11IChCw6AgQsOsbmggRMawxqFuZylaKiIoY2jDuWEgYsOgIHRoacOqbiBo4bqtdSBiw6AgYsOsbmggZMawxqFuZ5IBEHBsYWNlX29mX3dvcnNoaXCaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTTVhalYyTlZOQkVBReABAPoBBAgAEDs!16s%2Fg%2F11pyc2z04d?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	NULL	chua-ba-binh-duong.jpg	60	https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcSHEgnuyqmN6X62R3uJIKF0zKXDiq1yJ59TsCXtvmJocFKd5tbEAirBa0mwnVJUaEfRFtrJs7CipmHMCS1enjVofaeWn6bYSVKqnE-W1IkCizXCqPY
75	Chùa Tây Tạng	Tượng Đạt Ma Sư Tổ làm bằng tóc.	Ngôi chùa phái Mật tông độc đáo, sở hữu bức tượng Bồ Đề Đạt Ma được kết từ tóc của hàng ngàn phật tử.	4.5	1300	85	Tôn giáo	06:00	18:00	0	46B	Thích Quảng Đức	Phường Chánh Nghĩa	TP. Thủ Dầu Một	Bình Dương	10.977704641909238, 106.66208979086673	https://www.google.com/maps/place/Tay+Tang+Buddhist+Temple/@10.9775256,106.6591769,17z/data=!3m1!4b1!4m6!3m5!1s0x3174d13a88ef03b5:0xa8fe7df8f754fb63!8m2!3d10.9775256!4d106.6617572!16s%2Fg%2F11r7pjxrl?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	NULL	chua-tay-tang.jpg	45	https://mia.vn/media/uploads/blog-du-lich/chua-tay-tang-binh-duong-voi-kien-truc-doc-dao-va-khong-gian-thanh-tinh-9-1654587075.jpg
76	Chùa Châu Thới	Ngôi chùa trên núi với đàn khỉ hoang.	Chùa tọa lạc trên đỉnh núi cao, view đẹp và là nơi sinh sống của đàn khỉ tự nhiên dạn dĩ.	4.5	2200	90	Tôn giáo	06:00	18:00	0	NULL	Núi Châu Thới	Phường Bình An	TP. Dĩ An	Bình Dương	10.915265483930733, 106.80521945779422	https://www.google.com/maps/place/Chau+Thoi+Buddhist+Temple/@10.9150548,106.8019096,17z/data=!3m1!4b1!4m6!3m5!1s0x3174d927ed254903:0xc8a532ac9cc1021!8m2!3d10.9150548!4d106.8044899!16s%2Fg%2F11b696pf1t?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	NULL	chua-chau-thoi.jpg	90	https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcTcCTa0HGIyh3ijitTXORq4TQT5oz7Y8Cejo6fOggAF5C2T2Z4aDA0vGMm3X-jmWyKIozzgRpVfFc35eJogBYdd4f6b8Vn4cHOAWhBMpyft7ReqE-k
77	Làng sơn mài Tương Bình Hiệp	Làng nghề thủ công truyền thống.	Nơi gìn giữ nghệ thuật sơn mài tinh xảo, du khách có thể tham quan xưởng và mua sản phẩm lưu niệm độc đáo.	4.3	600	65	Văn hóa	07:30	17:00	0	17	Hồ Văn Cống	Phường Tương Bình Hiệp	TP. Thủ Dầu Một	Bình Dương	11.005716314002282, 106.64382250435938	https://www.google.com/maps/place/L%C3%A0ng+s%C6%A1n+M%C3%A0i+T%C6%B0%C6%A1ng+B%C3%ACnh+Hi%E1%BB%87p+%2F+Tuong+Binh+Hiep+Lacquer+Handicraft+village/@11.0054741,106.6409418,17z/data=!4m10!1m2!2m1!1zTMOgbmcgc8ahbiBtw6BpIFTGsMahbmcgQsOsbmggSGnhu4dw!3m6!1s0x3174d1fd66c095f9:0x4d0cd8467b8467ad!8m2!3d11.0054741!4d106.6435221!15sCiRMw6BuZyBzxqFuIG3DoGkgVMawxqFuZyBCw6xuaCBIaeG7h3CSAQpoYW5kaWNyYWZ04AEA!16s%2Fg%2F11wppgwb3_?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	NULL	lang-son-mai.jpg	45	https://imagevietnam.vnanet.vn//MediaUpload/Org/2022/11/24/1924-10-54-28.jpg
78	Bảo tàng Bình Phước	Lưu giữ lịch sử và văn hóa tỉnh.	Nơi trưng bày hiện vật khảo cổ, lịch sử kháng chiến và văn hóa các dân tộc thiểu số tại địa phương.	4.2	400	65	Bảo tàng	07:30	17:00	0	NULL	QL14	Phường Tân Bình	TP. Đồng Xoài	Bình Phước	11.544459328451955, 106.88578546285251	https://www.google.com/maps/place/Binh+Phuoc+Provincial+Museum/@11.5440182,106.8846041,18.53z/data=!4m6!3m5!1s0x3174a06a65ec422b:0xd3f2469d7c17a433!8m2!3d11.5443754!4d106.8857909!16s%2Fg%2F11dxqdtbl8?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	NULL	bao-tang-binh-phuoc.jpg	45	https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQg9Rp06PDClu21pc0Is4jqHeAwZ44zdCjebRxRI5UxPwbh2WGCvcECgnkD1Iga
79	Trảng Cỏ Bù Lạch	Thảo nguyên xanh giữa đại ngàn.	Những bãi cỏ rộng lớn nối tiếp nhau quanh hồ nước, khung cảnh yên bình ví như "Đà Lạt của Bình Phước".	4.2	700	78	Cắm trại	06:00	18:00	0	NULL	QL14	Xã Đồng Nai	H. Bù Đăng	Bình Phước	11.80856144846634, 107.35820105772486	https://www.google.com/maps/place/Trang+co+Bu+Lach/@11.8089904,107.3564086,17.29z/data=!4m6!3m5!1s0x31739e9835a0ab9d:0x4bd064baeca67cdb!8m2!3d11.8084641!4d107.3582735!16s%2Fg%2F12hk5j5nb?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	NULL	trang-co-bu-lach.jpg	120	https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcT5UvMFHViPfusjAXj9RHXP5QSIufEYwXEEYpU-7J80YmpNrWhIApKbet88SLd0
80	Công viên The Destina	Kỳ quan thế giới thu nhỏ.	Công viên với các mô hình mô phỏng kiến trúc nổi tiếng thế giới, điểm check-in mới lạ tại Bình Phước.	4.3	900	75	Check-in	07:00	22:00	0	NULL	KCN Bắc Đồng Phú	TT. Tân Phú	H. Đồng Phú	Bình Phước	11.49811524600247, 106.87410636038824	https://www.google.com/maps/place/C%C3%B4ng+Vi%C3%AAn+Th%E1%BA%BF+Gi%E1%BB%9Bi+Di+S%E1%BA%A3n+Ki%E1%BA%BFn+Tr%C3%BAc+-+The+Destina+2,1ha/@11.4977237,106.8732074,18.27z/data=!4m6!3m5!1s0x3174a1995f5a6867:0xcb65c260a8e36424!8m2!3d11.498024!4d106.873902!16s%2Fg%2F11fl_cq7w1?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	NULL	cong-vien-the-destina.jpg	45	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS55ZQCOD6pS22CeM7_2QeOjahDRkJ0Ms3Bf-prxEomD8H-marJVIGV8ml81dxT
81	KDL Mỹ Lệ	Khu du lịch sinh thái đa năng.	Điểm vui chơi với vườn trái cây, vườn thú, hồ bơi và các dịch vụ nghỉ dưỡng giữa thiên nhiên.	4.0	800	72	Giải trí	07:00	17:00	40000	NULL	ĐT 741	Xã Long Hưng	H. Phú Riềng	Bình Phước	11.775159865142829, 106.8981886060577	https://maps.app.goo.gl/oL8bRgrHafVPURbGA	2713745678	kdl-my-le.jpg	120	https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcR4CUSxYdYSgswkzxoD35zHttP_MwldMMlr9-NeQL9eKHRDRcwPoRVUZ_9nAGie
82	Hồ Suối Cam	Lá phổi xanh của Đồng Xoài.	Hồ nước cảnh quan rộng lớn, nơi người dân thành phố thường đến hóng mát và ngắm hoàng hôn.	4.3	1200	80	Giải trí	00:00	23:59	0	NULL	Hồ Xuân Hương	Phường Tân Phú	TP. Đồng Xoài	Bình Phước	11.547309864532817, 106.88508205969431	https://www.google.com/maps/search/H%E1%BB%93+Su%E1%BB%91i+Cam/@11.546813,106.8832704,18.04z?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	NULL	ho-suoi-cam.jpg	45	https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcS5-gZzBH94FdfN1ehmjMUqhnM9ivn5wdI-G-D165rKSGw_A52HNujXkdBbwOUE
83	Thác Voi	Vẻ đẹp hoang dã của thiên nhiên.	Thác nước nằm ẩn mình trong rừng sâu Bù Đăng, mang vẻ đẹp nguyên sơ và dòng nước mát lạnh.	4.2	400	68	Hoang sơ	07:00	17:00	10000	NULL	Nghĩa Trung	Xã Đồng Nai	H. Bù Đăng	Bình Phước	11.823218036729672, 108.33674098663434	https://www.google.com/maps/place/Th%C3%A1c+Voi/@11.8233204,108.335345,17.04z/data=!4m6!3m5!1s0x317141fe45db10a3:0x4f2d1a7bd54bb18b!8m2!3d11.8230091!4d108.3364973!16s%2Fg%2F1228xg52?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	NULL	thac-voi.jpg	45	https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcTwfKwuDezRdVSAGlxixJL8VKhrQz0ijyvR4jCfCYgQTJNn0f8ijTyn7BlPYbVAq9crQOQpb_a7nNl8sRBKMWKRCO-R5Ln0wn8uohiXcdnpvZyB_YU
84	Thác Pan Toong	Thác nước thơ mộng giữa rừng.	Dòng thác hiền hòa chảy qua các bậc đá, cảnh sắc thiên nhiên trong lành và yên tĩnh.	4.1	300	65	Hoang sơ	07:00	17:00	0	NULL	Đức Liễu	Xã Đức Liễu	H. Bù Đăng	Bình Phước	11.71195778344503, 107.1215760695595	https://www.google.com/maps/place/Th%C3%A1c+Pan+Toong/@11.7121317,107.12107,16.27z/data=!4m6!3m5!1s0x31737abc39785b57:0xfa722e3fa5e3d302!8m2!3d11.7116946!4d107.1209375!16s%2Fg%2F11fmvb2jqh?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	NULL	thac-pan-toong.jpg	45	https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRvB5IkDwGi2bgFKGMTnuGqEBK7_EOgHzhn3wJwwAt6Ghw_8QZbbtTZ0tbYgmxA
85	Núi Bà Rá	Ngọn núi cao thứ 3 Nam Bộ.	Điểm leo núi và trekking hấp dẫn, từ đỉnh núi có thể ngắm toàn cảnh hồ Thác Mơ tuyệt đẹp.	4.5	1800	89	Leo núi	06:00	17:00	0	NULL	ĐT 741	Phường Thác Mơ	TX. Phước Long	Bình Phước	11.817260692416152, 107.00142763944322	https://www.google.com/maps/place/B%C3%A0+R%C3%A1+mountain/@11.8178685,106.9969804,16.23z/data=!4m6!3m5!1s0x317369542358db35:0xa8046b3af355f96a!8m2!3d11.8168755!4d107.0007987!16s%2Fm%2F0nb81hl?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	NULL	nui-ba-ra.jpg	150	https://binhphuoc.gov.vn/uploads/binhphuoc/dulich/2022_12/nui-ba-ra-1.jpg
86	Di tích Tà Thiết	Căn cứ Bộ chỉ huy Miền (R).	Khu rừng Chính phủ với hệ thống hầm hào, nhà làm việc của các lãnh đạo cao cấp trong kháng chiến chống Mỹ.	4.5	1300	85	Lịch sử	07:30	17:00	20000	NULL	Lộc Thành	Xã Lộc Thành	H. Lộc Ninh	Bình Phước	11.747887199352215, 106.47211870368149	https://www.google.com/maps/place/DTLS+Khu+c%C4%83n+c%E1%BB%A9+T%C3%A0+Thi%E1%BA%BFt/@11.7479491,106.4713578,18.53z/data=!4m6!3m5!1s0x310cad99a1b22327:0x2619dc8cb55a958!8m2!3d11.7477875!4d106.4719531!16s%2Fg%2F11g022s2dg?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	NULL	di-tich-ta-thiet.jpg	90	https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTe1z7bELkS6QyMo7nO5zGG0ubnr0BrmOpJ-Kwf8iD_n-VXzmJ5nMOyqDv5Y38q
87	Di tích Chốt chặn Tàu Ô	Tượng đài chiến thắng lịch sử.	Nơi ghi dấu chiến công chốt chặn hào hùng trên đường 13, góp phần vào thắng lợi của chiến dịch Nguyễn Huệ.	4.4	600	70	Lịch sử	07:00	17:00	0	NULL	QL13	Xã Tân Khai	H. Hớn Quản	Bình Phước	11.519409302278888, 106.61529989920825	https://www.google.com/maps/place/Victory+Monument+Tau+O/@11.5193115,106.6146902,18.78z/data=!4m6!3m5!1s0x3174abc3050f551d:0xfda66641000ffda5!8m2!3d11.5193417!4d106.6152377!16s%2Fg%2F11b67p8nwk?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	NULL	tuong-dai-tau-o.jpg	30	https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTlrw3lqywtQevNSkj5aki5rhm1e2zEJmBhGm3HFVEHqAYZnE4dIDyO7sQcSwBN
88	Hồ Thác Mơ	Biển hồ giữa núi rừng.	Hồ chứa nước thủy điện rộng lớn, bao quanh bởi rừng cây, phong cảnh sơn thủy hữu tình.	4.4	1200	82	Sinh thái	00:00	23:59	0	NULL	ĐT 741	Xã Đức Hạnh	TX. Phước Long	Bình Phước	11.823623045815474, 107.07165741034764	https://www.google.com/maps/place/Thac+Mo+Reservoir/@11.8230759,107.0686707,17.05z/data=!4m6!3m5!1s0x31736dd73ca0ba4f:0x727259106f256a2c!8m2!3d11.8235166!4d107.0716609!16s%2Fg%2F1td7wkp1?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	NULL	ho-thac-mo.jpg	60	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcy7M1fatEMtxdhkT74BQ86i44M1sKrfLhJrX5MIdA3zWLV39jVJBJS9DSHdEF
89	Vườn quốc gia Bù Gia Mập	Khám phá rừng nguyên sinh.	Điểm trekking lý tưởng để trải nghiệm thiên nhiên hoang dã, tắm suối và tìm hiểu hệ sinh thái đa dạng.	4.3	900	86	Sinh thái	07:00	17:00	50000	NULL	ĐT 741	Xã Bù Gia Mập	H. Bù Gia Mập	Bình Phước	12.087513817259566, 107.1569205810889	https://www.google.com/maps/place/B%C3%B9+Gia+M%E1%BA%ADp+National+Park/@12.0871991,107.1538253,17z/data=!3m1!4b1!4m6!3m5!1s0x3173045733ba9107:0x47b9f7939c9150fa!8m2!3d12.0871991!4d107.1564056!16s%2Fm%2F0bmh12d?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	2713724235	vuon-quoc-gia-bu-gia-map.jpg	240	https://encrypted-tbn2.gstatic.com/licensed-image?q=tbn:ANd9GcSlTdjCDRmvv9a_Z5Z0N8FLg_3CrHFquT_8uuYSG2BX8wZIS8_OhP0H3W4A8RKRNJM1oqaUDuKLydt1V7UihTt7W5mIUtZcORPLHRLSgzNbxAu3p1k
90	Thác Đứng	Thác nước hùng vĩ hoang sơ.	Dòng thác chảy mạnh qua các tảng đá dựng đứng, tạo nên cảnh quan tráng lệ giữa rừng già.	4.1	600	70	Sinh thái	07:00	17:00	20000	NULL	ĐT 759	Xã Đoàn Kết	H. Bù Đăng	Bình Phước	11.776405416838053, 107.21541417414943	https://www.google.com/maps/place/Th%C3%A1c+%C4%90%E1%BB%A9ng/@11.7761394,107.2138567,17.76z/data=!4m6!3m5!1s0x317376dcde60c4bd:0x93339355363af1c6!8m2!3d11.7762591!4d107.2152574!16s%2Fg%2F11g6ddhgd6?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	NULL	thac-dung.jpg	60	https://encrypted-tbn0.gstatic.com/licensed-image?q=tbn:ANd9GcRrxxQYatn3YKp6xBH_Iw5goBOOe0nX1rm4ha80Rvplb5pp9Jc5WqkAXHoOYMIYEIv8RKgOHhWYED0P2miXNqLHSGVN9Ku6BJTABLWGvzyAKsNEyNQ
91	Thác Số 4	Điểm dã ngoại cuối tuần.	Thác nước nhân tạo chảy tràn qua đập, tạo màn nước trắng xóa, thích hợp cho picnic và tắm mát.	4.0	500	65	Sinh thái	07:00	17:00	10000	NULL	Tân Lợi	Xã Tân Lợi	H. Hớn Quản	Bình Phước	11.687846264928965, 106.67606394967399	https://www.google.com/maps/place/Waterfall+No.+4/@11.687737,106.6754705,18.53z/data=!4m6!3m5!1s0x317351200168b8e1:0xec4cd22fe83d4b6f!8m2!3d11.687787!4d106.6759747!16s%2Fg%2F126262hbc?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	NULL	thac-so-4.jpg	90	https://encrypted-tbn3.gstatic.com/licensed-image?q=tbn:ANd9GcQNngwF67GvKalwKsyCC5jOYzMOk4W3kx00oVIqSyVsJtqfxf_C8h56qp1wV8X8fir6nbhV4ZDG1Tl5R_3-N_0WEadLe1DJ9BPEqtUqlKly3YhrXGg
92	Thác Mơ Minh Hưng	Điểm cắm trại "chill" bên hồ.	Bãi cỏ xanh mướt ven hồ nước, địa điểm hot cho giới trẻ cắm trại, chèo SUP và ngắm cảnh.	4.0	350	78	Sinh thái	07:00	17:00	0	NULL	Minh Hưng	Xã Minh Hưng	H. Bù Đăng	Bình Phước	17.86618051101092, 105.87071044951283	https://www.google.com/maps/place/Khu+du+l%E1%BB%8Bch+Th%C3%A1c+M%C6%A1/@17.8661182,105.8701413,18.78z/data=!4m6!3m5!1s0x3138e3fe9bde34bd:0xb6a7e4b6ce23bc3f!8m2!3d17.8661307!4d105.8705949!16s%2Fg%2F11fzf59p7w?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	NULL	trang-mo-minh-hung.jpg	90	https://qbtravel.vn/wp-content/uploads/2021/07/Thac-mo-quang-binh-nam-an-minh-giua-nui-rung-minh-hoa.jpg
93	KDL Đảo Yến Sơn Hà	Khu sinh thái nghỉ dưỡng xanh.	Ốc đảo xanh mát với hồ bơi, nhà hàng và không gian vui chơi, thích hợp cho họp mặt gia đình.	4.1	500	74	Sinh thái	07:00	18:00	40000	NULL	Tân Hòa	Xã Tân Tiến	H. Đồng Phú	Bình Phước	11.452178403394749, 106.85757069605894	https://www.google.com/maps/place/Yen+Son+Ha+Island+Tourist+Area/@11.4522199,106.856493,18.02z/data=!4m6!3m5!1s0x3174a3b13bd25071:0xfbbb1ca973d65ff4!8m2!3d11.4520559!4d106.8573824!16s%2Fg%2F11f3dcwx8w?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	NULL	dao-yen-son-ha.jpg	150	https://zoomtravel.vn/upload/images/dao-yen-binh-phuoc-1.png
94	Chùa Phật Quốc Vạn Thành	Tượng Phật ngồi cao nhất Đông Nam Á.	Khu tâm linh nổi bật với tượng Phật Thích Ca cao 73m sừng sững, uy nghiêm giữa trời xanh.	4.6	1500	88	Tôn giáo	06:00	18:00	0	NULL	KCN Minh Hưng	Xã Minh Hưng	TX. Chơn Thành	Bình Phước	11.626907312082054, 106.60141147255057	https://www.google.com/maps/place/Ch%C3%B9a+Ph%E1%BA%ADt+Qu%E1%BB%91c+V%E1%BA%A1n+Th%C3%A0nh/@11.6266272,106.6001272,18.02z/data=!4m6!3m5!1s0x3173544b35e01b03:0x649f2aedb90ea4b2!8m2!3d11.6268177!4d106.6012216!16s%2Fg%2F11g6nhv7nv?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	NULL	chua-phat-quoc-van-thanh.jpg	60	https://mia.vn/media/uploads/blog-du-lich/van-canh-chua-phat-quoc-van-thanh-voi-tuong-phat-cao-73m-day-an-tuong-1-1656926480.jpg
95	Thiền viện Trúc Lâm Bình Phước	Chốn thiền tịnh trang nghiêm.	Thiền viện kiến trúc gỗ uy nghi tọa lạc trên đồi cao, mang lại cảm giác thanh tịnh cho du khách.	4.6	800	85	Tôn giáo	06:00	18:00	0	NULL	QL14	Phường Tân Phú	TP. Đồng Xoài	Bình Phước	11.71774361496268, 106.46909267232645	https://www.google.com/maps/place/Binh+Phuoc+province+Truc+Lam+monastery/@11.7176105,106.4682731,19.04z/data=!4m6!3m5!1s0x310cad950f7bd92f:0x5e5776eb895318f!8m2!3d11.7176952!4d106.4689745!16s%2Fg%2F11h_1y8lyq?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	NULL	thien-vien-truc-lam-bp.jpg	60	https://encrypted-tbn1.gstatic.com/licensed-image?q=tbn:ANd9GcTnZLYDt7ArK_aR0v4ot1NsU4bmI72nxV71T1KMyLyK8BIiqpU7f_LdV153uo2fr6KkuUsYAXm2-dtBCql-2lR9hB3HvsneKs8hynipvWDc6ETYYTc
96	Sóc Bom Bo	Huyền thoại tiếng chày giã gạo.	Buôn làng người S'tiêng nổi tiếng qua bài hát, nơi lưu giữ văn hóa cồng chiêng và dệt thổ cẩm đặc sắc.	4.3	1100	82	Văn hóa	07:00	17:00	0	NULL	QL14	Xã Bình Minh	H. Bù Đăng	Bình Phước	11.837629503721354, 107.19033204854762	https://www.google.com/maps/place/S%C3%B3c+Bom+Bo/@11.837388,107.1873977,17z/data=!3m1!4b1!4m6!3m5!1s0x3174a024b835d737:0x7e7f33ca52d795f5!8m2!3d11.837388!4d107.189978!16s%2Fg%2F11c1r6dr30?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	NULL	soc-bom-bo.jpg	60	https://budang.binhphuoc.gov.vn/uploads/budang/news/2024_10/image-20241022080824-2.jpeg
97	Khu du lịch Khai Long	Biển xanh cát vàng bên rừng đước.	Khu du lịch biển với bãi cát dài, tượng Phật Bà hướng biển và các công trình giải trí hiện đại.	4.1	1300	80	Bãi biển	07:00	17:00	50000	NULL	Ấp Khai Long	Xã Đất Mũi	H. Ngọc Hiển	Cà Mau	8.566959550091537, 104.82865260184289	https://maps.app.goo.gl/creiASriJtaHuUJj7	2903716666	kdl-khai-long.jpg	120	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJHDwJ3JVfwt-aZK6IP2a4Qgo1gzt2WcgVKbBCftibm_MN2Tgqt_NTYcGequ0c
98	Biểu tượng Cua Cà Mau	Điểm check-in độc đáo.	Mô hình con cua Cà Mau khổng lồ, tôn vinh loại đặc sản trứ danh ngon nhất nước của vùng đất này.	4.4	2200	85	Check-in	00:00	23:59	0	NULL	Quảng trường	Phường 5	TP. Cà Mau	Cà Mau	8.607528680686112, 104.72284866217804	https://maps.app.goo.gl/2CtZ1spLhNrupAfK8	NULL	bieu-tuong-cua.jpg	20	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4mgABfW4mEahxAVFJ0MjujRNMkX6fvFcNvt0CMOgjk_NtOkx4E0zpAWdqY3oa
99	Đầm Cùng Bridge	Cây cầu nối liền đôi bờ.	Công trình giao thông quan trọng và là điểm ngắm hoàng hôn tuyệt đẹp trên sông Bảy Háp mênh mông.	4.5	1800	70	Check-in	00:00	23:59	0	NULL	QL1A	Đầm Cùng	H. Năm Căn	Cà Mau	8.854545065752172, 105.02412053297924	https://maps.app.goo.gl/9UwZWroNVmH2w3yx7	NULL	cau-dam-cung.jpg	20	https://encrypted-tbn1.gstatic.com/licensed-image?q=tbn:ANd9GcQwfWskSp_klGeEm6E9fSO1nW2s54Wac8PolVj7uH-CmONYuF0CB9dHR50nYIpPHe6a0McA3EoV3fAfJR0H74E2UVx1x8fGoYqfDEgodLMbPNDLcY8
100	Đền thờ Bác Hồ	Di tích lịch sử văn hóa quốc gia.	Ngôi đền được nhân dân lập nên để thờ Bác, là địa chỉ đỏ giáo dục truyền thống cách mạng.	4.7	850	72	Di tích	07:00	17:00	0	NULL	Lê Duẩn	Phường 1	TP. Cà Mau	Cà Mau	9.184330047672137, 105.13519773659313	https://maps.app.goo.gl/3uXtee8WL71Lq8GS8	NULL	den-tho-bac-ho-cm.jpg	45	https://encrypted-tbn1.gstatic.com/licensed-image?q=tbn:ANd9GcQQPGzdh1KfUeGROLyIuiZVkFu9PB1uX1Qik9VFiirS4tFMcVUKNXkg1FvY3Q7Fi3DRm5b0cCfB4NMWcTJrSYtk0dL0jkJ1LVFGRCl-IA8KfLjoGKw
101	Bưu Cục Cấp 3 Nhà Dây Thép	Nơi khởi nguồn thông tin liên lạc.	Di tích lịch sử ngành bưu điện, ghi dấu sự hình thành mạng lưới giao liên cách mạng thời kháng chiến.	4.4	400	65	Di tích	07:30	17:00	0	NULL	Lê Lợi	Phường 2	TP. Cà Mau	Cà Mau	9.178361767422194, 105.14539158272827	https://maps.app.goo.gl/iDEEbtET8QnD9eaaA	NULL	nha-day-thep.jpg	30	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSaiZSKzB0RmosPeLWnd3kVtJagTqSAaVI9xJ5bF4-fIZwF85MRqoYOrvo5hg4r
102	Đình Làng Tân Hưng	Di tích lịch sử cách mạng.	Nơi treo lá cờ Đảng đầu tiên tại Cà Mau, gắn liền với phong trào đấu tranh giải phóng dân tộc.	4.4	300	65	Di tích	07:00	17:00	0	NULL	QL1A	Xã Lý Văn Lâm	TP. Cà Mau	Cà Mau	9.151530398578878, 105.14724392430708	https://maps.app.goo.gl/U2oHdu8NjYjqgVXm6	NULL	dinh-tan-hung.jpg	45	https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSfHVpEDS0mrie1AjAJ0NHS3MZwStOKHiBAue5XTWGo90OFcvOvSTBiuIjdRbst
103	Khu Tưởng niệm Chủ tịch Hồ Chí Minh	Tấm lòng người dân Đất Mũi.	Công trình văn hóa trang nghiêm, nơi người dân Cà Mau thể hiện lòng kính yêu đối với Chủ tịch Hồ Chí Minh.	4.0	900	75	Giải trí	06:00	21:00	10000	2	Ngô Quyền	Phường 1	TP. Cà Mau	Cà Mau	9.185822256396467, 105.1379851855731	https://maps.app.goo.gl/nHqxJR2xE3WazKSDA	NULL	khu-tuong-niem-bac-ho.jpg	45	https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSrR41GAFdZADSgP3R1WeeegWSWmd4rECxhL-OWYmCPDddA2DIvK9MS8qh4wdHI
