name	priveVnd	summary	description	openTime	closeTime	phone	rating	reviewCount	populartity	imageName	tags	houseNumber	street	ward	district	city	lat, long	url
Bảo tàng Chiến thắng Điện Biên Phủ	100.000 VNĐ	Bảo tàng	Nơi trưng bày hiện vật và bức tranh Panorama tái hiện toàn cảnh chiến dịch (Giá vé bao gồm tranh).	7:00	17:30	02153831341	4.7	998	88	bao_tang_chien_thang_dbp.png			Võ Nguyên Giáp	Mường Thanh	TP Điện Biên Phủ	Điện Biên	21.380924518631,103.016053215493	Dien Bien Phu Victory Museum
Sở chỉ huy Chiến dịch Điện Biên Phủ	15.000 VNĐ	Di tích lịch sử	Nơi Đại tướng Võ Nguyên Giáp làm việc và chỉ huy chiến dịch suốt 105 ngày đêm.				4.6	305	76	so_chi_huy_muong_phang.png			QL279B	Mường Phăng	TP Điện Biên Phủ	Điện Biên	21.454037421892,103.160336058339	Dien Bien Phu Campaign Command Headquarters
Hồ Pa Khoang	0	Danh lam thắng cảnh	Hồ nước rộng lớn nằm giữa rừng nguyên sinh, không khí trong lành.				4.5	83	68	ho_pa_khoang.png				Mường Phăng	TP Điện Biên Phủ	Điện Biên	21.4350361081206,103.102010408815	Hồ Pa Khoang
Cánh đồng Mường Thanh	0	Danh lam thắng cảnh	Cánh đồng lúa lớn nhất vùng Tây Bắc, vựa lúa của tỉnh Điện Biên.	24/24	24/24		4.7	79	76	canh_dong_muong_thanh.png				Thanh Xương	Điện Biên	Điện Biên	21.3663089743387,103.019042894588	Cánh đồng Mường Thanh
Deo Pha Din	0	Danh lam thắng cảnh	Một trong tứ đại đỉnh đèo Tây Bắc, ranh giới tự nhiên giữa Sơn La và Điện Biên.				4.5	276	70	deo_pha_din.png			Bá Khâm	Mường É	Thuận Châu	Sơn La	21.5660341332182,103.530954685248	Pha Din Pass
Mốc giới số 0 - Điểm Cực Tây Tổ Quốc	0	Địa điểm check-in	Cột mốc A Pa Chải tại ngã ba biên giới Việt - Lào - Trung.				4.8	306	88	a_pa_chai.png				Sín Thầu	Mường Nhé	Điện Biên	22.4012544459507,102.144911333209	Mốc giới số 0 - Điểm Cực Tây Tổ Quốc
Tượng đài Chiến Thắng Điện Biên Phủ	20.000 VNĐ	Di tích lịch sử	Tượng đài bằng đồng lớn nhất Việt Nam đặt trên đồi D1.	0:00	23:30		4.6	1292	84	tuong_dai_chien_thang.png				Mường Thanh	TP Điện Biên Phủ	Điện Biên	21.3921600690448,103.019461421571	Dien Bien Phu Victory Monument
Thành Bản Phủ	0	Di tích lịch sử	Thành lũy cổ do thủ lĩnh Hoàng Công Chất xây dựng thế kỷ 18.	7:00	19:00		4.2	304	55	thanh_ban_phu.png				Thanh Yên	Điện Biên	Điện Biên	21.3168745067623,103.004890600667	Thành Bản Phủ
Nhà tù Sơn La	20.000 VNĐ	Di tích lịch sử	Di tích quốc gia đặc biệt, nơi thực dân Pháp giam cầm các chiến sĩ cộng sản, nổi tiếng với cây đào Tô Hiệu.	7:30	17:30	02123850221	4,3	2092	68	nha_tu_son_la.png			Khau Cả	Tô Hiệu	TP Sơn La	Sơn La	21.3312963890857,103.908049701849	Sơn La Prison Landmark
Thác Dải Yếm	50.000 VNĐ	Danh lam thắng cảnh	Thác nước 2 tầng đẹp như dải yếm của người con gái, nằm bên cạnh Cầu kính Tình Yêu.	7:00	19:00	02122222333	4,2	1670	60	thac_dai_yem.png			Bản Vật	Mường Sang	Mộc Châu	Sơn La	20.8130428734642,104.591889236233	Thác Dải Yếm
Rừng thông Bản Áng	60.000 VNĐ	Khu du lịch	Khu rừng thông bên hồ nước thơ mộng, được ví như "Đà Lạt thu nhỏ" của Tây Bắc.	7:00	22:00	02122488666	4.2	478	56	rung_thong_ban_ang.png		39	Rừng thông Bản Áng	Đông Sang	Mộc Châu	Sơn La	20.8289817471391,104.63246455952	Đồi thông Bản Áng
Đồi chè Trái Tim	0	Danh lam thắng cảnh	Đồi chè xanh ngát được tạo hình trái tim độc đáo, biểu tượng của du lịch Mộc Châu.	24/24	24/24		4.4	1.392	72	doi_che_trai_tim.png				NT Mộc Châu	Mộc Châu	Sơn La	20.8907877648083,104.686461271164	Đồi chè Trái Tim
Thung lũng mận Nà Ka	30.000 VNĐ	Danh lam thắng cảnh	Thung lũng mận đẹp nhất Mộc Châu, trắng xóa hoa vào mùa xuân và đỏ rực quả vào mùa hè.	24/24	24/24	0913219456	4.5	2041	76	thung_lung_man_na_ka.png			ĐT104	NT Mộc Châu	Mộc Châu	Sơn La	20.8968909764758,104.653485500742	Na Ka Plum Valley
Cầu kính Bạch Long	550.000 VNĐ	Khu du lịch	Cầu kính đi bộ dài nhất thế giới (Guinness), điểm đến hấp dẫn tại Mộc Châu Island.	7:00	20:00	02123839999	4.4	1340	72	cau_kinh_bach_long.png				Mường Sang	Mộc Châu	Sơn La	20.8493839472598,104.570339773013	Bạch Long glass bridge
Đỉnh Pha Luông	20.000 VNĐ	Du lịch mạo hiểm	"Nóc nhà Mộc Châu", ranh giới tự nhiên Việt - Lào, nổi tiếng trong bài thơ Tây Tiến.				4.6	361	77	dinh_pha_luong.png				Chiềng Sơn	Mộc Châu	Sơn La	20.674092238476,104.631347930685	Đỉnh Pha Luông
Hang Dơi	20.000 VNĐ	Danh lam thắng cảnh	"Tây Thiên đệ nhất động" với hệ thống nhũ đá kỳ ảo và đàn dơi sinh sống lâu đời.	6:00	17:00		4.2	1272	58	hang_doi_moc_chau.png			QL6 	TT Mộc Châu	Mộc Châu	Sơn La	20.8503118562557,104.638918740479	Hang Dơi
Ngũ Động Bản Ôn	20.000 VNĐ	Du lịch mạo hiểm	Hệ thống 5 hang động hoang sơ nằm sâu trong rừng, chưa bị thương mại hóa nhiều.	24/24	24/24	0899261588	4.2	187	52	ngu_dong_ban_on.png				NT Mộc Châu	Mộc Châu	Sơn La	20.8733094706998,104.711617753972	Ngũ Động Bản Ôn
Thủy điện Sơn La	0	Công trình	Nhà máy thủy điện lớn nhất Đông Nam Á, công trình thế kỷ trên dòng sông Đà.	24/24	24/24	02122230030	4,5	156	69	thuy_dien_son_la.png				Ít Ong	Mường La	Sơn La	21.4975992442464,103.997052355821	Sơn La hydropower plant
Happy Land Mộc Châu	60.000 VNĐ	Khu du lịch	Khu du lịch tràn ngập hoa, có trại cừu và các trò chơi giải trí, homestay ống cống độc đáo.	7:00	19:00	0977588886	3.9	2813	50	happy_land_moc_chau.png			QL43	Mường Sang	Mộc Châu	Sơn La	20.838598643228,104.579570233081	Mộc Châu Happy Land
Ruộng Bậc Thang Mù Cang Chải	20.000 VNĐ	Danh lam thắng cảnh	Di tích quốc gia đặc biệt, đẹp ngỡ ngàng vào mùa nước đổ và mùa lúa chín.				4.7	181	78	ruong_bac_thang_mcc.png				Dế Su Phình	Mù Cang Chải	Yên Bái	21.815981970807,104.12824293585	Ruộng bậc thang Mù Cang Chải
Khu Suối Khoáng Cường Hải	120.000 VNĐ	Khu du lịch sinh thái	Suối khoáng nóng tự nhiên, thích hợp nghỉ dưỡng (Giá vé tắm khoáng cho khách vãng lai).			0943208704	4.2	1430	59	khu_suoi_khoang_cuong_hai.png				Tổ dân phố 3	Trạm Tấu	Yên Bái	21.4576051303169,104.382478855821	Tram Tau Hot Spring
Hồ Thác Bà	0	Danh lam thắng cảnh	"Hạ Long trên núi" với hơn 1.300 đảo lớn nhỏ, là hồ nhân tạo lớn nhất nhì Việt Nam.				4.5	244	70	ho_thac_ba.png				Hán Đà	Yên Bình	Yên Bái	21.7277400635648,105.021431815342	Hồ Thác Bà
Đồi Mâm Xôi La Pán Tẩn	20.000 VNĐ	Địa điểm check-in	Biểu tượng của Mù Cang Chải, thửa ruộng tròn đều như mâm xôi vàng rực mùa lúa chín (Phí vào điểm chụp ảnh).	24/24	24/24		4.6	1530	85	doi_mam_xoi.png				La Pán Tẩn	Mù Cang Chải	Yên Bái	21.7929690351897,104.152584925509	Rice Tray Viewpoint Mâm Xôi
Chợ Mường Lò	0	Văn hóa/Chợ phiên	Chợ lớn thứ hai Tây Bắc, trung tâm văn hóa Xòe Thái.			02163870176	4.3	953	67	cho_muong_lo.png				Trung Tâm	Nghĩa Lộ	Yên Bái	21.6026118059399,104.512366017192	Chợ Mường Lò
Đỉnh Tà Chì Nhù	0	Du lịch mạo hiểm	"Đại dương mây" trên mặt đất, thiên đường trekking săn hoa Chi Pâu.				4.8	142	84	dinh_ta_chi_nhu.png				Xà Hồ	Trạm Tấu	Yên Bái	21.5679848193827,104.313400669314	Đỉnh Tà Chì Nhù
Thác Háng Đề Chơ	0	Du lịch mạo hiểm	Thác nước hùng vĩ và khó chinh phục nhất Tây Bắc, nằm sâu trong rừng già.				4.9	96	86	thac_hang_de_cho.png				Tà Si Láng	Trạm Tấu	Yên Bái	21.4420747588058,104.581050572089	Thác Háng Tề Chơ
Khu Di tích Căng và Đồn Nghĩa Lộ	0	Di tích lịch sử	Khu di tích lịch sử cách mạng, ghi dấu chiến công giải phóng Nghĩa Lộ năm 1952.				4.4	362	68	di_tich_nghia_lo.png			Nguyễn Quang Bích	Tân An	Nghĩa Lộ	Yên Bái	21.6007243582923,104.50440099815	Di tích Căng và Đồn Nghĩa Lộ
Đèo Mã Pí Lèng	0	Danh lam thắng cảnh	Một trong "Tứ đại đỉnh đèo", cung đường hiểm trở và hùng vĩ bậc nhất Việt Nam.				4.8	765	90	deo_ma_pi_leng.png				Pải Lủng	Mèo Vạc	Hà Giang	23.241261456321,105.400257492061	Đèo Mã Pí Lèng
Cột Cờ Lũng Cú	25.000 VNĐ	Biểu tượng thiêng liêng	Điểm cực Bắc thiêng liêng của Tổ quốc, nơi có lá cờ 54m² tượng trưng cho 54 dân tộc.	24/24	24/24		4.6	8486	92	cot_co_lung_cu.png				Lũng Cú	Đồng Văn	Hà Giang	23.3635242898447,105.316546863222	Cột cờ Lũng Cú
Sông Nho Quế	100.000 VNĐ	Danh lam thắng cảnh	Dòng sông xanh ngọc bích chảy qua hẻm vực Tu Sản (Giá tham khảo cho dịch vụ thuyền).				4.8	827	91	song_nho_que.png				Xín Cái	Mèo Vạc	Hà Giang	23.1997099907425,105.473725133863	Sông Nho Quế
Phố Cổ Đồng Văn	20.000 VNĐ	Di tích lịch sử	Khu phố cổ tồn tại hơn trăm năm, mang đậm nét kiến trúc truyền thống của người Mông, Hoa.	7:00	23:30		4.5	2513	78	pho_co_dong_van.png				Phố Cổ	Đồng Văn	Hà Giang	23.2782809109383,105.361506746029	Phố cổ Đồng Văn
Dinh Vua Mèo	30.000 VNĐ	Di tích lịch sử	Dinh thự kiến trúc Á-Âu cổ kính, nơi ở của Vua Mèo Vương Chính Đức.	7:30	17:00		4.4	6607	79	dinh_vua_meo.png				Xà Phìn	Đồng Văn	Hà Giang	23.2564468708712,105.262148042328	Dinh Vua Mèo (Họ Vương)
Cổng Trời Quản Bạ	0	Danh lam thắng cảnh	Điểm dừng chân lý tưởng để ngắm nhìn toàn cảnh Núi Đôi Cô Tiên và thung lũng Quản Bạ.	24/24	24/24		4.5	4375	82	cong_troi_quan_ba.png			QL4C	Quản Bạ	Quản Bạ	Hà Giang	23.0494296849599,104.992838132536	Cổng Trời Quản Bạ
Ruộng Bậc Thang Hoàng Su Phì	20.000 VNĐ	Danh lam thắng cảnh	Di tích quốc gia đặc biệt, nổi tiếng với ruộng bậc thang vào mùa lúa chín vàng rực.				4.7	91	76	ruong_bac_thang_hsp.png				Sán Sả Hồ	Hoàng Su Phì	Hà Giang	22.699511477986,104.654889581496	Ruộng bậc thang Hoàng Su Phì
Hà Giang cột mốc số 0	0	Biểu tượng check-in	Điểm xuất phát của mọi hành trình khám phá Cao nguyên đá Đồng Văn.	24/24	24/24		4.7	2364	91	cot_moc_km0.png		39/6	An Cư	Tổ Dân Phố 6	TP Hà Giang	Hà Giang	22.827483142624,104.984095430686	Cột mốc KM0 Hà Giang
Thảo nguyên Suôi Thầu	30.000 VNĐ	Danh lam thắng cảnh	"Thụy Sĩ thu nhỏ" với những cánh đồng cỏ và hoa rộng lớn, khí hậu mát mẻ.	24/24	24/24	0332446153	4.6	362	77	thao_nguyen_suoi_thau.png				Nàn Ma	Xín Mần	Hà Giang	22.6810415758968,104.439439226985	Thảo nguyên Suôi Thầu (Xín Mần)
Làng văn hóa Lũng Cẩm	10.000 VNĐ	Văn hóa/Cộng đồng	Nơi có "Nhà của Pao", bối cảnh phim nổi tiếng, kiến trúc truyền thống người Mông.				4.5	188	69	lang_van_hoa_lung_cam.png				Sủng Là	Đồng Văn	Hà Giang	23.2270906593604,105.201773642328	Làng văn hóa Lũng Cẩm (Nhà của Pao)
Thác Bản Giốc	45.000 VNĐ	Danh lam thắng cảnh	Thác nước xuyên quốc gia hùng vĩ nhất Việt Nam, nơi dòng Quây Sơn đổ xuống qua nhiều tầng đá vôi.				4.6	10427	94	thac_ban_gioc.png			Sông Quy Xuân	Đàm Thuỷ	Trùng Khánh	Cao Bằng	22.8544835912086,106.724287753608	Thác Bản Giốc
Động Ngườm Ngao	40.000 VNĐ	Hang động	Hang động đá vôi lớn, thạch nhũ đa dạng, nằm cách Thác Bản Giốc không xa.	7:30	17:00		4.6	949	82	dong_nguom_ngao.png				Đàm Thuỷ	Trùng Khánh	Cao Bằng	22.8456262314527,106.705740511642	Động Ngườm Ngao
Khu du lịch Pác Bó	25.000 VNĐ	Di tích lịch sử	Khu di tích quốc gia đặc biệt, nơi Bác Hồ về nước lãnh đạo cách mạng (gồm Hang Pác Bó, Suối Lê Nin).	7:00	17:00		4.6	746	81	khu_di_tich_pac_bo.png				Trường Hà	Hà Quảng	Cao Bằng	22.9779093878141,106.050463288357	Khu di tích Pác Bó
Hồ Thang Hen	30.000 VNĐ	Danh lam thắng cảnh	Quần thể 36 hồ nước liên thông nhau trên núi cao, tạo nên khung cảnh thủy mặc yên bình.				4.1	231	45	ho_thang_hen.png				Quốc Toản	Trà Lĩnh	Cao Bằng	22.7589239618154,106.294285182536	Hồ Thang Hen
Đèo Mã Phục	0	Danh lam thắng cảnh	Đèo nổi tiếng với hai khối đá vôi lớn dựng đứng (Mã Phục), là cửa ngõ quan trọng đi vào các huyện phía Đông.				4.5	158	69	deo_ma_phuc.png				Quốc Toản	Trà Lĩnh	Cao Bằng	22.7289350192566,106.336506277255	Núi Mắt Thần (Núi Thủng)
Làng đá cổ Khuổi Ky	0	Văn hóa/Cộng đồng	Ngôi làng cổ truyền thống của người Tày, nổi bật với những nếp nhà sàn đá độc đáo.				4.4	14	60	lang_da_khoi_ky.png				Đàm Thuỷ	Trùng Khánh	Cao Bằng	22.8549689383533,106.700934657671	Đèo Mã Phục
Chùa Phật Tích Trúc Lâm Bản Giốc	0	Văn hóa/Tâm linh	Chùa nằm trên ngọn đồi gần Thác Bản Giốc, là nơi thờ anh hùng dân tộc Nùng Trí Cao.				4.7	203	78	chua_truc_lam_ban_gioc.png				Đàm Thuỷ	Trùng Khánh	Cao Bằng	22.8510375363645,106.723182944178	Làng đá cổ Khuổi Ky
Khau Coc Cha (Đèo 15 tầng)	0	Du lịch mạo hiểm	Cung đường đèo nổi tiếng với 15 tầng dốc uốn lượn, thách thức các tay lái xe mô tô.	24/24	24/24	0911584596	4.7	1097	89	deo_khau_coc_cha.png				Xuân Trường	Bảo Lạc	Cao Bằng	22.9264484505733,105.783310488357	Chùa Phật Tích Trúc Lâm Bản Giốc
Vườn Quốc Gia Phia Oắc - Phia Đén	0	Danh lam thắng cảnh	Khu bảo tồn thiên nhiên đa dạng sinh học, đỉnh núi cao với khí hậu lạnh, nơi từng có di tích kiến trúc Pháp cổ.				4.7	137	77	vuon_quoc_gia_phia_oac.png				Thành Công	Nguyên Bình	Cao Bằng	22.5839005783641,105.883965366114	Đèo Khau Cốc Chà (Đèo 15 tầng)
Thác Nặm Trá	0	Danh lam thắng cảnh	Thác nước hoang sơ nằm gần Núi Mắt Thần, là điểm check-in ít người biết hơn.	24/24	24/24		4.5	126	68	thac_nam_tra.png				Cao Chương	Trùng Khánh	Cao Bằng	22.7778032449161,106.316703886507	Vườn Quốc Gia Phia Oắc - Phia Đén
Đèo Khau Liêu	0	Danh lam thắng cảnh	Cung đường đèo có cảnh quan ruộng bậc thang đẹp, nằm trong khu vực Công viên địa chất Non nước Cao Bằng.				4.1	25	40	deo_khau_lieu.png				Trùng Khánh	Trùng Khánh	Cao Bằng	22.7531747541168,106.464591177255	Thác Nặm Trá
Di tích Rừng Trần Hưng Đạo	0	Di tích lịch sử	Nơi thành lập Đội Việt Nam Tuyên truyền Giải phóng quân (tiền thân Quân đội Nhân dân Việt Nam) năm 1944.	24/24	24/24	0961316286	4.5	122	68	rung_tran_hung_dao.png				Tam Kinh	Nguyên Bình	Cao Bằng	22.5919127724772,106.04107535158	Đèo Khau Liêu
Khu Di tích Lịch sử Kim Đồng	25.000 VNĐ	Di tích lịch sử	Khu di tích tưởng niệm anh hùng liệt sĩ Kim Đồng, nằm gần Pác Bó.	5:30	18:30		4.5	607	74	khu_di_tich_kim_dong.png				Trường Hà	Hà Quảng	Cao Bằng	22.9329871552685,106.046521588357	Khu di tích Rừng Trần Hưng Đạo
Đền Vua Lê	0	Di tích lịch sử	Đền thờ Vua Lê Thái Tổ (Lê Lợi), nằm trong khu vực thành phố Cao Bằng.				4.4	29	62	den_vua_le_cb.png				làng Đến	Hòa An	Cao Bằng	22.7076456804675,106.176591828835	Khu Di tích Kim Đồng
Núi Mắt Thần	0	Danh lam thắng cảnh	Kỳ quan thiên nhiên độc đáo với một hang xuyên núi hình tròn, nằm gần Hồ Thang Hen.	5:30	17:00		4.7	1003	88	nui_mat_than.png				Cao Chương	Trùng Khánh	Cao Bằng	22.7742496695496,106.317897234386	Đền Vua Lê (Đền Vua Lê Thái Tổ)
Hồ Ba Bể	0	Danh lam thắng cảnh	Hồ nước ngọt tự nhiên lớn nhất Việt Nam, nằm trong Vườn Quốc gia Ba Bể.				4.5	1153	75	ho_ba_be.png				Nam Mẫu	Ba Bể	Bắc Kạn	22.4058339304342,105.622373353721	Ba Be Lake
Vườn Quốc gia Ba Bể	30.000 VNĐ	Khu bảo tồn	Khu bảo tồn đa dạng sinh học nổi tiếng, phí áp dụng cho vé vào cổng.	24/24	24/24	0965125189	4.4	2055	74	vuon_quoc_gia_ba_be.png				Bố Lù	Ba Bể	Bắc Kạn	22.396475692305,105.615802244177	Ba Bể National Park
Động Puông	30.000 VNĐ	Hang động	Hang động đá vôi xuyên núi, nơi dòng sông Năng chảy qua, tạo nên cảnh quan hùng vĩ.	7:00	20:00		4.5	185	69	dong_puong.png				Khang Ninh	Ba Bể	Bắc Kạn	22.4577867156555,105.65803721719	Puong Cave
Thác Đầu Đẳng	0	Danh lam thắng cảnh	Thác nước ba tầng hoang sơ, thường được tham quan trong hành trình đi thuyền trên sông Năng.	24/24	24/24		4.3	335	64	thac_dau_dang.png				Nam Mẫu	Ba Bể	Bắc Kạn	22.4525842612086,105.570773275674	Đầu Đẳng Waterfall
Ao tiên - Fairy pond	0	Danh lam thắng cảnh	Hồ nước nhỏ trên núi, nước trong xanh, gắn liền với truyền thuyết.				5	1	70	ao_tien_ba_be.png				Nam Mẫu	Ba Bể	Bắc Kạn	22.4485174669035,105.618095215367	Ao tiên - Fairy pond
Đền An Mạ	0	Văn hóa/Tâm linh	Ngôi đền thiêng nằm trên đảo An Mạ giữa lòng hồ Ba Bể.	24/24	24/24		5	2	72	den_an_ma.png				Nam Mẫu	Ba Bể	Bắc Kạn	22.4123847744073,105.61535165322	Đền An Mạ
Động Hua Mạ	25.000 VNĐ	Hang động	Hang động lớn, chứa đựng nhiều nhũ đá tuyệt đẹp và gắn liền với truyền thuyết về Mã Lạng Tướng Quân.				4.6	225	75	dong_hua_ma.png				Quảng Khê	Ba Bể	Bắc Kạn	22.3519511886803,105.676902503697	Hua Ma Cave
Đèo Gió (Ngân Sơn)	0	Danh lam thắng cảnh	Cung đèo uốn lượn, nổi tiếng với không khí lạnh và mây mù bao phủ.				4.6	41	72	deo_gio_ngan_son.png				Nà Phặc	Ngân Sơn	Bắc Kạn	22.414662985786,105.947141353421	Đèo Gió (Ngân Sơn)
Chùa Thạch Long	0	Văn hóa/Tâm linh	Ngôi chùa cổ kính nằm trong hang đá, là điểm đến tâm linh nổi tiếng.				4.5	166	69	chua_thach_long.png				Cao Kỳ	Chợ Mới	Bắc Kạn	22.0391144210404,105.846193551572	Chùa Thạch Long
Khu di tích Quốc gia đặc biệt Tân Trào	20.000 VNĐ	Di tích lịch sử	Thủ đô Khu giải phóng, nơi diễn ra Quốc dân Đại hội, điểm lịch sử quan trọng.			02076566866	4.7	170	78	kdt_tan_trao.png				Tân Trào	Sơn Dương	Tuyên Quang	21.7746533767721,105.472215474868	Khu di tích Quốc gia đặc biệt Tân Trào
Di tích lịch sử Lán Nà Lừa	20.000 VNĐ	Di tích lịch sử	Nơi Chủ tịch Hồ Chí Minh đã ở và làm việc trước khi về Hà Nội.				4.7	16	74	lan_na_lua.png				Tân Trào	Sơn Dương	Tuyên Quang	21.7749908899337,105.485116105557	Di tích lịch sử Lán Nà Lừa
Hồ Thủy điện Na Hang	40.000 VNĐ	Danh lam thắng cảnh	Hồ thủy điện lớn, được mệnh danh là "Hạ Long trên cạn" của Tuyên Quang (Phí tham quan Khu Bảo tồn).				4.5	189	69	ho_na_hang.png				TT. Na Hang	Na Hang	Tuyên Quang	22.3688701831823,105.399104170346	hồ Thủy điện Na Hang
Điểm Du Lịch Thác Mơ	40.000 VNĐ	Danh lam thắng cảnh	Thác nước đẹp nằm trong Khu Bảo tồn thiên nhiên Na Hang (Phí tham quan chung).			0988486112	4	197	42	thac_mo_tq.png			QL279	TT. Nà Hang	Na Hang	Tuyên Quang	22.353028896832,105.419716039041	Điểm Du Lịch Thác Mơ
Thác Bản Ba	70.000 VNĐ	Danh lam thắng cảnh	Thác nước 3 tầng hùng vĩ, là danh thắng cấp Quốc gia.			0358145555	4.5	118	68	thac_ban_ba.png				Trung Hà	Chiêm Hóa	Tuyên Quang	22.3435693620215,105.060252761686	Thác Bản Ba
Đền Hạ	0	Văn hóa/Tâm linh	Ngôi đền thiêng thờ Công chúa Phương Dung, nằm bên bờ Sông Lô.	24/24	24/24	0968525336	4.6	197	75	den_ha_tq.png		39	Đ. Chiến Thắng Sông Lô	P. Tân Quang	TP Tuyên Quang	Tuyên Quang	21.8128696102303,105.215065947885	Đền Hạ
Di tích Thành cổ Tuyên Quang	0	Di tích lịch sử	Di tích kiến trúc quân sự cổ, hiện chỉ còn lại một số cổng thành và tường thành.	24/24	24/24	0359113096	4.3	578	66	thanh_co_tq.png			Đ. Bình Thuận	P. Tân Quang	TP Tuyên Quang	Tuyên Quang	21.8193803841397,105.214911126983	Relics of the Mac
Bảo tàng Tỉnh Tuyên Quang	0	Văn hóa/Lịch sử	Nơi trưng bày hiện vật lịch sử, văn hóa của tỉnh Tuyên Quang.	8:00	17:00		4.3	234	63	bao_tang_tq.png				P. Phan Thiết	TP Tuyên Quang	Tuyên Quang	21.8197417234763,105.209883963229	Tuyên Quang Provincial Museum
Đền Pác Tạ	0	Văn hóa/Tâm linh	Đền thờ Công chúa Phương Dung (còn gọi là Nàng Quý), nằm bên lòng hồ Na Hang.	24/24	24/24	0399674545	4.6	33	72	den_pac_ta.png				Khau Tinh	Na Hang	Tuyên Quang	22.3818104618034,105.398032873016	Đền Pác Tạ
Khu du lịch sinh thái và nghỉ dưỡng Nam Phương Hồ Núi Cốc	130.000 VNĐ	Khu du lịch	Khu vui chơi giải trí tổng hợp bên Hồ Núi Cốc.				4.2	64	78	nam_phuong_ho_nui_coc.png				Phúc Trìu	TP Thái Nguyên	Thái Nguyên	21.5640228464451,105.727207712944	Bản đồ Hồ Núi Cốc
điểm thăm quan chè tân cương thủy toán	0	Thắng cảnh	Điểm tham quan vùng chè đặc sản Tân Cương.			0986434259	3.9	60	74	che_tan_cuong_thuy_toan.png				Tân Cương	TP Thái Nguyên	Thái Nguyên	21.543258234628,105.760188726986	Bản đồ Đồi chè Tân Cương
Du lịch ATK Định Hóa ( ATK) An Toàn Khu	20.000 VNĐ	Di tích lịch sử	Di tích quốc gia đặc biệt, trung tâm kháng chiến chống Pháp.	8:00	17:30	0979759123	4.5	909	69	atk_dinh_hoa.png			Tỉn Keo - ATK	Phú Đinh	Định Hóa	Thái Nguyên	21.7879644986287,105.509734813493	Bản đồ ATK Định Hóa
Khu Du Lịch Hang Phượng Hoàng	50.000 VNĐ	Hang động	Hang động tự nhiên hùng vĩ và Suối Mỏ Gà.			02083505506	4.2	39	42	hang_phuong_hoang.png			QL1B	Phú Thượng	Võ Nhai	Thái Nguyên	21.7752320127839,106.119435284657	Bản đồ Khu Du Lịch Hang Phượng Hoàng
Bảo tàng Văn hóa các Dân tộc Việt Nam	30.000 VNĐ	Bảo tàng	Nơi lưu giữ văn hóa của 54 dân tộc anh em.			02083855781	4.4	1735	68	bao_tang_van_hoa_dan_toc.png			Đường Đội Cấn	Trưng Vương	TP Thái Nguyên	Thái Nguyên	21.5968915320107,105.838460971164	Bản đồ Bảo tàng
Chùa Hang	0	Văn hóa/Tâm linh	Ngôi chùa nằm trong hang núi độc đáo (Kim Sơn Tự).			02083622067	4.5	758	75	chua_hang.png			QL1B	Chùa Hang	Đồng Hỷ	Thái Nguyên	21.6236500282988,105.841751373013	Bản đồ Chùa Hang
Đền Đuổm	0	Văn hóa/Tâm linh	Đền thờ Dương Tự Minh, kiến trúc cổ kính dưới chân núi.	24/24	24/24		4.5	72	66	den_duom.png			QL3	Xóm Đuổm (Động Đạt)	Phú Lương	Thái Nguyên	21.7553205055318,105.707396488356	Bản đồ Đền Đuổm
Khu bảo tồn Làng nhà sàn Dân tộc Sinh thái Thái Hải	150.000 VNĐ	Khu du lịch	Khu bảo tồn nhà sàn và văn hóa dân tộc Tày, Nùng.			0832192184	4.2	1498	63	lang_nha_san_thai_hai.png			Khu du lịch Thái Hải	Xóm Cường (Thịnh Đức)	TP Thái Nguyên	Thái Nguyên	21.5337996799621,105.815323280316	Bản đồ Làng Thái Hải
Khu Du Lịch Sinh Thái Hồ Kim Đĩnh	0	Danh lam thắng cảnh	Hồ sinh thái thích hợp cắm trại và dã ngoại.	24/24	24/24	0868265068	3.9	448	72	ho_kim_dinh.png				Tân Kim	Phú Bình	Thái Nguyên	21.5033573235566,105.995012178561	Bản đồ Hồ Kim Đĩnh
Thác Ngao	0	Danh lam thắng cảnh	Thác nước tự nhiên hoang sơ tại sườn đông Tam Đảo.	24/24	24/24		4.4	256	50	thac_ngao.png				Quân Chu	Đại Từ	Thái Nguyên	21.4758537150835,105.672893044178	Bản đồ Thác Ngao
Khu Du Lịch Mẫu Sơn	0	Khu du lịch	Khu nghỉ dưỡng trên núi, nổi tiếng với khí hậu mát mẻ, sương mù và băng tuyết vào mùa đông.	8:00	19:00	1900088845	4.1	1133	35	khu_du_lich_mau_son.png				Mẫu Sơn	Lộc Bình	Lạng Sơn	21.8490033724884,106.917225699999	Khu Du Lịch Mẫu Sơn
Chùa Tam Thanh	20.000 VNĐ	Di tích lịch sử	Ngôi chùa nổi tiếng nằm trong động Tam Thanh, có tượng A Di Đà tạc vào vách đá.				4.4	1176	74	chua_tam_thanh.png				Tam Thanh	TP Lạng Sơn	Lạng Sơn	21.8557924115906,106.747204886506	Tam Thanh
Núi Tô Thị	0	Danh lam thắng cảnh	Ngọn núi có tảng đá tự nhiên hình người phụ nữ bồng con, gắn liền với sự tích Hòn Vọng Phu.				3.4	14	48	nui_to_thi.png			Nà Pan	Hoàng Đồng	TP Lạng Sơn	Lạng Sơn	21.8504526848305,106.7353822	Núi Tô Thị
