																					
id	name	sumary	desciption	rating	reviewCount	popularity	tags	openTime	closeTime	priceVND	houseNumber	street	   ward	district	city	Tọa độ	URL	phone	Img name	dwell	Img url
37	Viet Kitchen - International Vietnamese Restaurant	Buffet quốc tế sang trọng tại khách sạn 5 sao Renaissance.	Nhà hàng buffet nằm trong khách sạn Renaissance Riverside, phục vụ sự kết hợp tuyệt vời giữa ẩm thực Việt Nam truyền thống và các món ăn quốc tế hiện đại, hải sản cao cấp.	4.7	381	90	Món Việt ,Ăn vặt , Gia đình, Bạn bè	6:00	23:00	850000	15	Tôn Đức Thắng 	Bến Nghé 	quận 1	Hồ Chí Minh 	10.775325777346104, 106.70701486114285	https://maps.app.goo.gl/997VVwArdpnvCqNS9	2838220033	viet_kitchen.png	30	https://lh3.googleusercontent.com/p/AF1QipPHrezd_9fmQyDbe83f2yRRS6N7AwS1tu_2q3aX=w408-h248-k-no
38	Nhà Hàng Lúa Đại Việt	Không gian đồng quê với các món ngon dân tộc.	Không gian mang đậm hồn quê Việt giữa lòng phố thị, chuyên phục vụ các món ăn gia đình, đặc sản vùng miền với nguyên liệu tươi ngon và cách bài trí mộc mạc.	4.8	5624	100	Món Việt ,Ăn vặt , Gia đình, Bạn bè	0:00	23:59	400000	193	Đề Thám 	Phạm Ngũ Lão 	quận 1	Hồ Chí Minh 	10.767723038292347, 106.69377216958853	https://maps.app.goo.gl/5jzeK4dKKt7z3qYx5	356154334	nha_hang_lua_dai_viet.png	30	https://lh3.googleusercontent.com/p/AF1QipNsnqJt_S2CgU4BjwSH8gkfqn5zyTVeD5zR404E=w426-h240-k-no
39	Elisa Floating Restaurant	Nhà hàng nổi độc đáo và lớn nhất trên sông Sài Gòn.	Nhà hàng nổi lớn nhất Việt Nam neo đậu trên sông Sài Gòn, thiết kế độc đáo với 3 cánh buồm, mang đến trải nghiệm ẩm thực đẳng cấp và view sông thơ mộng.	4.4	1374	70	Món Việt ,Ăn vặt , Gia đình, Bạn bè	10:00	23:00	1100000	5	Nguyễn Tất Thành 	Phường 13	quận 4	Hồ Chí Minh 	10.768744433793499, 106.70810893838315	https://maps.app.goo.gl/REXpqHBzzYqpKoav8	938568182	elisa_float.png	45	https://lh3.googleusercontent.com/p/AF1QipP2OPfH84Ve2CKoHqbQCUvFv0I25TKZI-QVociW=w502-h240-k-no
40	Cơm Tấm Múc - Vietnamese Broken Rice Restaurant	Cơm tấm sườn nướng than hoa thơm lừng góc phố.	Quán cơm tấm mang phong cách hiện đại nhưng vẫn giữ hương vị truyền thống, nổi tiếng với miếng sườn nướng mật ong thơm lừng và không gian sạch sẽ, máy lạnh.	4.7	710	80	Món Việt ,Ăn vặt , Gia đình, Bạn bè	9:00	21:45	100000	138	Nguyễn Văn Cừ 	Nguyễn Cư Trinh	quận 1	Hồ Chí Minh 	10.75990298553708, 106.68451600030455	https://maps.app.goo.gl/f789q1GmFqF1cmnz6	333653657	com_tam_muc.png	20	https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwEaH9MUzRPR1640pS2n9OmzRgtSHS7FlyHzfS9F-F3l9UkkIMPmcWwsIIv4SGuCiqZg8cpf9voz12BigHj8_XLwj1cJnPzQ4p8GDIj21CEGT-Qht809KK6mGayK4LBgWFMsSGc=w408-h544-k-no
41	Mộc Vegetarian Cuisine - Ẩm thực chay Mộc	Món chay cách điệu trong không gian mộc mạc an yên.	Nhà hàng chay với không gian yên tĩnh, thanh tịnh, thực đơn đa dạng các món chay được chế biến công phu, đẹp mắt, tốt cho sức khỏe.	4.9	654	100	Món Việt ,Ăn vặt , Gia đình, Bạn bè, Món chay	10:00	22:00	200000	549	Trần Hưng Đạo 	Cầu Kho	quận 1	Hồ Chí Minh 	10.758258709384569, 106.68610386806823	https://maps.app.goo.gl/kHUmWess1uvF9ynv5	915840089	moc_vegetarian.png	60	https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxQ5Crmad8FW9a91ZBJYI_7RuphK9SzhTIr6sH8EaF50hRfpV9Wj2oCvD8i6-nSucLZvOXo0mW_Eu9R3amY2uKlm8Unz_XUI1fXlMeRaXApGVx7xNujdsDep_5BCxzianPC2EymM1HNMHaz=w408-h544-k-no
42	Tửu Lầu 13	Quán nhậu bình dân phong cách cổ trang Trung Hoa.	Quán nhậu thiết kế theo phong cách kiếm hiệp cổ trang độc đáo, thực đơn phong phú với các món nhậu lai rai và các loại rượu đặc sản.	4.8	263	100	Món Việt ,Ăn vặt , Gia đình, Bạn bè	0:00	23:59	500000	6	Nam Quốc Cang	Nguyễn Cư Trinh	quận 1	Hồ Chí Minh 	10.768276675291954, 106.68783413053404	https://maps.app.goo.gl/GFie66TWfzHVTVxDA	902505761	tuu_lau_13.png	25	https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyOPlq3elUbDCZbMt5oCQTLOr3FSBgG-fr4zOcciU4_-e12JsEOrQF5aeC3wxm8Cl0eJqghzQIFB1B6b4BtvztjIl2AeHu_6Vz6LEwIBRXp1lhmkTq2KRB_HvIjDLbJUTAH30qwag=w408-h544-k-no
43	Nhà Hàng Bào Ngư Nhất Phẩm	Thượng phẩm bào ngư bồi bổ sức khỏe dành cho giới sành ăn.	Chuyên phục vụ các món ăn thượng hạng từ bào ngư, vi cá và hải sản cao cấp theo phong cách ẩm thực Trung Hoa, thích hợp cho tiếp khách sang trọng.	4.6	115	70	Món Việt ,Ăn vặt , Gia đình, Bạn bè	9:00	23:00	400000	174	Lê Lai	Bến Thành 	quận 1	Hồ Chí Minh 	10.769848031245045, 106.69066061616499	https://maps.app.goo.gl/nwUgNTqHjQNo3Wyf8	903177925	bao_ngu_de_nhat.png	60	https://lh3.googleusercontent.com/p/AF1QipNsay_xm5Y5xz2TQGLWWcno-zhb1EN2rdtPcWc=w408-h577-k-no
44	Nhà Hàng Phố 79 (chi nhánh 1)	Nơi tiếp khách VIP sang trọng với ẩm thực cao cấp.	Nhà hàng sang trọng với hệ thống phòng VIP đẳng cấp, chuyên phục vụ hải sản tươi sống và ẩm thực cung đình, là điểm đến quen thuộc của giới doanh nhân.	4.2	610	20	Món Việt ,Ăn vặt , Gia đình, Bạn bè	12:00	23:30	600000	120	Sương Nguyệt Anh 	Phạm Ngũ Lão 	quận 1	Hồ Chí Minh 	10.772757017226319, 106.6887723409866	https://maps.app.goo.gl/twFXnFjACcRJcyHK9	966773279	nha_hang_pho_79.png	60	https://lh3.googleusercontent.com/p/AF1QipP1OUua9iQ6AF3Ti87G5ksYlyp3lgvteAzsZ_vP=w408-h306-k-no
45	Cơm Niêu Sài Gòn	Nổi tiếng với màn biểu diễn đập niêu tung hứng điệu nghệ.	Nổi tiếng với màn biểu diễn "đập niêu" tung hứng độc đáo và các món ăn dân dã Việt Nam chuẩn vị Bắc như cá kho tộ, cà pháo mắm tôm.	4.3	2050	10	Món Việt ,Ăn vặt , Gia đình, Bạn bè	10:00	22:00	300000	59	Hồ Xuân Hương	Phường 6	quận 3	Hồ Chí Minh 	10.777015047482, 106.68774237270748	https://maps.app.goo.gl/TadtiNJx8t2FnwMG8	901301728	com_nieu_sai_gon.png	30	https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzXfEoM77DF2FsgwE__Jo5wu99nFZzJDAfNgP2uzhwHPUFvolbdZ__werjjBEOc1iae7XF2rfT_IJQz78vffg00te_6ebWz6O8mI5qk0t2KixCRAfJXj9NkeyDVDsMgLFZtYIWvWPrs_Gy3=w408-h306-k-no
46	NS BẾN THUYỀN	Thưởng thức hải sản tươi ngon bên bến thuyền thơ mộng.	Nhà hàng lâu đời với thực đơn hải sản phong phú và các món Việt đặc sắc, không gian rộng rãi phù hợp cho đặt tiệc và họp mặt gia đình.	4.3	2539	20	Món Việt ,Ăn vặt , Gia đình, Bạn bè	10:00	22:00	500000	11	Nguyễn Văn Trỗi 	Phường 11	Phú Nhuận 	Hồ Chí Minh 	10.792723091001681, 106.68111208493352	https://maps.app.goo.gl/mpjBv886P2XHEEqE9	909886058	ben_thuyen.png	45	https://lh3.googleusercontent.com/p/AF1QipPqeQEH7_zm7uqf2NwI2DUmfUq76TOiZvJg-tGB=w493-h240-k-no
47	Vựa cua Út Cà Mau	Đặc sản cua Cà Mau chính gốc bao ăn chắc thịt.	Chuyên các món về Cua Cà Mau chính gốc, bao ăn, bao đổi trả. Nổi tiếng với cua thịt chắc, gạch son và nhiều cách chế biến như sốt trứng muối, rang me.	4.3	827	90	Món Việt ,Ăn vặt , Gia đình, Bạn bè	10:00	23:00	600000	215	Điện Biên Phủ 	Phường 6	quận 3	Hồ Chí Minh 	10.785204067886609, 106.69228213838312	https://maps.app.goo.gl/wo3zDfYEuRcC9VPS8	2835218359	vua_cua_ut_ca_mau.png	50	https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwmuPNGWOXbPp3g93H_xRQk3Zctzm7h_KWBO1A4c67e6SDnBH5KRjdKCfsFG_2HOk_82es1fufl_t0TxtqaPEwG6DgUD_AFVk0E0OMMIsd5nqbz_igDH7oy8JHvorkdS0DwRFWTHlZXortT=w408-h544-k-no
48	Nhà hàng chay Phương Mai	Ẩm thực chay tịnh giữa không gian yên bình tĩnh lặng.	Nằm ẩn mình trong con hẻm yên tĩnh phía sau chợ Bến Thành, phục vụ các món chay Á - Âu kết hợp đầy sáng tạo trong không gian ấm cúng, thiền tịnh.	4.9	2904	90	Món Việt ,Ăn vặt , Gia đình, Bạn bè, Món chay	9:00	21:30	200000	82/86F	Võ Thị Sáu 	Tân Định 	quận 1	Hồ Chí Minh 	10.789500547851459, 106.6919741606274	https://maps.app.goo.gl/4mxhuk5aoLQNGwGM7	888339257	nha_hang_chay_mai_phuong.png	45	https://lh3.googleusercontent.com/p/AF1QipOgIyylmvPJRGPPeZzH6UFkE8DzVsFER-5ZT4qr=w408-h306-k-no
49	Lux68 Restaurant	Không gian ẩm thực và giải trí hiện đại đẳng cấp.	Nhà hàng hầm rượu sang trọng, riêng tư, chuyên phục vụ các món Âu cao cấp như bò Wagyu, gan ngỗng Pháp cùng bộ sưu tập rượu vang đồ sộ.	4.4	350	80	Món Việt ,Ăn vặt , Gia đình, Bạn bè	9:00	22:00	300000	173	Nguyễn Đình Chiểu 	Phường 6	quận 3	Hồ Chí Minh 	10.77548724351755, 106.68756503250813	https://maps.app.goo.gl/v1jnP7AndfSQzemK9	2866833168	lux68.png	45	https://lh3.googleusercontent.com/p/AF1QipPLZeJc0jAG_2vYWeTSECnPjgspi2auovbCOAHH=w408-h272-k-no
50	Lai Restaurant	Ẩm thực Quảng Đông tinh tế trên tầng cao view toàn cảnh.	Nhà hàng Quảng Đông cao cấp nằm trên tầng cao với view toàn cảnh thành phố, nổi tiếng với vịt quay Bắc Kinh và các món Dimsum tinh tế.	4.4	648	60	Món Việt ,Ăn vặt , Gia đình, Bạn bè	11:30	22:30	1000000	94	Nam Kỳ Khởi Nghĩa 	Bến Nghé 	quận 1	Hồ Chí Minh 	10.773106764770795, 106.700700728862	https://maps.app.goo.gl/TE2rZQnty1QTrpDXA	903116038	lai.png	60	https://lh3.googleusercontent.com/p/AF1QipPAJBshNuQ05Gwy9ixD2Bti5kk7gvpNe0NSGuPm=w408-h272-k-no
52	Cái Mâm Restaurant	Nhà hàng mang đậm hương vị Việt truyền thống, phục vụ các món ăn quen thuộc của gia đình Việt với phong cách trình bày mộc mạc, gần gũi.	Không gian ấm cúng gợi nhớ mâm cơm quê, Cái Mâm nổi tiếng với các món nhà làm chuẩn vị Bắc – Trung – Nam, đặc biệt phù hợp cho những buổi quây quần, họp mặt và trải nghiệm ẩm thực đậm chất Việt.	4.9	4298	100	Món Việt ,Ăn vặt , Gia đình, Bạn bè	10:30	22:00	900000	23	Đào Duy Từ 	Hàng Buồm 	Hoàn Kiếm 	Hà Nội	21.040579970488885, 105.85378516346576	https://maps.app.goo.gl/ZBL7RngTnpAsc9Qg8	338451086	cai_mam.png	60	https://lh3.googleusercontent.com/p/AF1QipNroI2BjuWkmFwzlM2tt2-XMFWFgDCq4p1aa2if=w408-h271-k-no
53	Quán Ăn Ngon	Nhà hàng tập hợp các món ăn đặc sắc từ ba miền, nổi tiếng với không gian sang trọng và đa dạng món ăn.	Chuỗi nhà hàng nổi tiếng, được xem là "chợ ẩm thực thu nhỏ" với hơn 200 món ăn đường phố và đặc sản ba miền, thiết kế kiểu biệt thự Pháp cổ.	4.2	3,737	81	Truyền thống, Món Việt, Ăn trưa, Ăn tối, Check-in	6:30	22:00	100,000 - 300,000	18	P. Phan Bội Châu	Cửa Nam	Hoàn Kiếm	Hà Nội	21.026512003618773, 105.84350504602584	https://www.google.com/maps/place/Qu%C3%A1n+%C4%82n+Ngon/@21.0263017,105.8433763,17z/data=!3m1!4b1!4m6!3m5!1s0x3135ab96d8d973cf:0x47a4f29ec2c4f739!8m2!3d21.0263017!4d105.8433763!16s%2Fg%2F11qxxy0b71?entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D	903246963	quan_an_ngon_png	60	https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxgTyf6UWbMrxsBdiPEEJ8Y11D_1p734blpkaV-9T-_KaQ-yYXDk3WUfLBpAr8Uh6lackVff7DXWVJHc9taAAOefDgEIW0goqBReSbv_meq_lYxslHj4z8i2bz8aJGX9WD4RSR8zcI94Xk=w408-h544-k-no
54	Essence Restaurant Original	Nhà hàng ẩm thực Việt Nam cao cấp trong lòng phố cổ, phục vụ các món ăn truyền thống được chế biến tinh tế.	Nằm trong khách sạn Essence Hanoi, nhà hàng nổi tiếng với sự kết hợp hài hòa giữa ẩm thực truyền thống và phong cách phục vụ hiện đại, thích hợp cho bữa tối lãng mạn.	4.8	2,856	94	Món Việt, Cao cấp, Ăn sáng, Ăn trưa, Ăn tối	6:30	22:00	250,000 - 500,000	38A	P. Trần Phú	Điện Biên	Ba Đình	Hà Nội	21.030821655014094, 105.8422717178777	https://maps.google.com/?cid=2940508784920936023&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ	2439352485	essence_restaurant_original_png	90	https://lh3.googleusercontent.com/p/AF1QipMKx_eGRFgnkCJOX26SnhXa6q_P6s67AmJlBGBx=w408-h612-k-no
55	Hong Hoai's Restaurant	Địa điểm nổi tiếng với các món ăn Việt Nam truyền thống, đặc biệt là Bún Chả, thu hút lượng lớn du khách quốc tế.	Quán ăn lâu đời tại phố cổ, phục vụ các món ăn đậm chất Hà Nội. Nổi tiếng với hương vị truyền thống, giá cả phải chăng và không gian bình dị, đông khách.	4.9	18,574	97	Món Việt, Bún Chả, Phố cổ, Ăn trưa, Ăn tối	10:00	23:00	50,000 - 150,000	20	P. Bát Đàn	Hàng Bồ	Hoàn Kiếm	Hà Nội	21.034084234805015, 105.84746713558175	https://maps.google.com/?cid=5051223794725005124&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ	915033556	hong_hoais_restaurant_png	60	https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxxLc3AUIBu1h5M6jXp6Dwamgb6hoF2zjB63CyjuKr0IGcALsxbzdOQyTbHV2zPwtxUOHdi1isKKdHvAQYpZCIHzrJpWc7b7cU8bZXNSfhzPvINt5CS6fyWRN8xAZlnEaHnmTDsZrL21xMk=w408-h306-k-no
56	Long Wang - Lẩu Hấp Thủy Nhiệt Hồng Kông	Nhà hàng chuyên về Lẩu Hấp Thủy Nhiệt Hồng Kông, cung cấp trải nghiệm ẩm thực lành mạnh với hải sản tươi ngon.	Phương pháp lẩu hấp độc đáo, giữ trọn hương vị tự nhiên của nguyên liệu. Không gian hiện đại, sang trọng, phù hợp cho tiệc gia đình và nhóm bạn.	4.8	1,461	93	Lẩu Hấp, Hải sản, Hồng Kông, Ăn trưa, Ăn tối	10:00	22:00	200,000 - 450,000	84	P. Ngọc Khánh	Giảng Võ	Ba Đình	Hà Nội	21.027020589498903, 105.81768327976417	https://maps.google.com/?cid=17168973784939842917&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ	854843388	long_wang_lau_hap_thuy_nhiet_hong_kong_png	120	https://i.pinimg.com/736x/26/7d/36/267d3631beb89fd8007142d80726e8d8.jpg
57	MẸT Vietnamese restaurant & Vegetarian Food 3	Nhà hàng nổi bật với thực đơn món Việt và món chay đa dạng, chú trọng đến nguyên liệu sạch và bài trí đẹp mắt.	Được đánh giá cao về chất lượng món ăn và dịch vụ. Không gian ấm cúng, decor mang đậm chất Việt, phục vụ cả món mặn và món chay.	4.9	21,480	97	Món Việt, Món Chay, Phố cổ, Ăn trưa, Ăn tối	10:00	22:30	150,000 - 350,000	42	P. Lương Văn Can	Hàng Gai	Hoàn Kiếm	Hà Nội	21.03298187726345, 105.85083603869582	https://maps.google.com/?cid=8608489657240086004&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ	392257292	met_vietnamese_restaurant_vegetarian_food_3_png	90	https://i.pinimg.com/736x/63/c1/f3/63c1f38307b961d147e211e7ebacfdd0.jpg
58	VIET Restaurant Hanoi	Nhà hàng Việt Nam cao cấp, nằm trong khách sạn JM Marvel, phục vụ ẩm thực Việt với phong cách hiện đại.	Không gian sang trọng, lịch sự, chuyên phục vụ các món ăn truyền thống được nâng tầm. Thích hợp cho các buổi hẹn hò hoặc chiêu đãi đối tác.	4.9	2,545	95	Món Việt, Cao cấp, Khách sạn, Ăn tối	14:30	22:00	300,000 - 600,000	16	P. Hàng Da	Hàng Bông	Hoàn Kiếm	Hà Nội	21.0312812827447, 105.84693220067632	https://maps.google.com/?cid=1004577645539885804&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ	2438238855	viet_restaurant_hanoi_png	120	https://i.pinimg.com/736x/8d/28/f0/8d28f06a2c60404924c9797a3cade84a.jpg
59	Au Lac Family Restaurant	Nhà hàng chuyên món ăn gia đình Việt, nổi tiếng với không gian ấm cúng và chất lượng món ăn ổn định.	Địa điểm lý tưởng cho các bữa ăn sum họp gia đình hoặc tụ tập bạn bè, mang đến hương vị ẩm thực truyền thống Việt Nam.	4.9	2,327	95	Món Việt, Truyền thống, Gia đình, Ăn trưa, Ăn tối	11:00	21:00	100,000 - 250,000	23	Ng. Huyện	Hàng Trống	Hoàn Kiếm	Hà Nội	21.029602199719875, 105.84875726450858	https://maps.google.com/?cid=1208494242148214275&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ	345315123	au_lac_family_restaurant_png	90	https://i.pinimg.com/736x/0f/89/6b/0f896b436279dc1d890709bc7a56e7c5.jpg
60	Miss Qs	Nhà hàng phục vụ các món ăn quốc tế và Việt Nam trong không gian hiện đại, sang trọng tại Hanoi Towers.	Địa điểm lý tưởng cho bữa sáng, trưa văn phòng, và tiệc cocktail. Thực đơn đa dạng, từ món Âu đến các món Á.	4.6	1,166	89	Quốc tế, Món Âu, Món Việt, Ăn sáng, Ăn trưa	6:30	22:00	200,000 - 400,000	49	P. Hai Bà Trưng	Trần Hưng Đạo	Hoàn Kiếm	Hà Nội	21.02588286098734, 105.84630838161956	https://maps.google.com/?cid=8693101565121980114&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ	2439348325	miss_qs_png	90	https://i.pinimg.com/1200x/91/9f/c9/919fc9e79488de4ebbd3286b0b316df7.jpg
61	Ẩm Thực Pháp - Maison Vie	Nhà hàng chuyên món Pháp cổ điển, nổi tiếng với phong cách phục vụ tinh tế và không gian lãng mạn, sang trọng.	Một trong những nhà hàng Pháp lâu đời tại Hà Nội, phục vụ các món ăn Pháp tiêu chuẩn cao. Thích hợp cho các dịp kỷ niệm đặc biệt.	4.4	644	85	Món Pháp, Cao cấp, Ăn trưa, Ăn tối, Lãng mạn	12:30	22:00	400,000 - 800,000	28	P. Tăng Bạt Hổ	Phạm Đình Hổ	Hai Bà Trưng	Hà Nội	21.01758389154552, 105.85814291045607	https://maps.google.com/?cid=4701012716843533984&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ	904150383	am_thuc_phap_maison_vie_png	120	https://i.pinimg.com/1200x/13/ad/cf/13adcf049ed52cd296a5812f5a3990c4.jpg
62	MOO BEEF STEAK NGUYỄN KHÁNH TOÀN	Nhà hàng chuyên Steak (bò bít tết) với chất lượng thịt cao cấp và đa dạng các loại sốt.	Chuỗi nhà hàng Steak được yêu thích với menu phong phú, không gian hiện đại, phục vụ các món Steak theo phong cách Âu Mỹ.	4.9	1,321	94	Steak, Món Âu, Thịt bò, Ăn trưa, Ăn tối	10:30	22:00	250,000 - 550,000	2F	Đ. Nguyễn Khánh Toàn	Quan Hoa	Cầu Giấy	Hà Nội	21.035359907921606, 105.80495756206012	https://maps.google.com/?cid=1256275618412489396&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ	964631086	moo_beef_steak_nguyen_khanh_toan_png	105	https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwa3xCqtol-Ymg3LqlGHwSA_cZZHzSN-UF0sf8m3zSKRARALeBanboFWxTyPEP0q-EibEPNuFHBifOsJoDAZhBDoydy-mNDsQh_9QLvts4e87C-rUZ3srvodfxeJmcHDBlI1tLEN4oKghuO=w408-h544-k-no
63	Lẩu Nướng Tươi Bbq	Nhà hàng Buffet Lẩu Nướng chuyên về các loại thịt tươi, hải sản đa dạng, phục vụ theo hình thức gọi món hoặc buffet.	Không gian rộng rãi, thoáng mát, thích hợp cho nhóm đông người. Nổi tiếng với đồ nướng chất lượng và giá cả phải chăng.	4.8	570	90	Lẩu Nướng, Buffet, Thịt nướng, Hải sản, Ăn tối	10:00	23:00	189,000 - 299,000	169	P. Hoàng Cầu	Trung Liệt	Đống Đa	Hà Nội	21.015804345810007, 105.82072019585657	https://maps.google.com/?cid=2749134903397504267&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ	776363663	lau_nuong_tuoi_bbq_png	120	https://lh3.googleusercontent.com/p/AF1QipOlPy896Z65O_2Zs-iDfNHbq7JMRBenH4MFjgSi=w408-h306-k-no
64	Lẩu nướng Ngon BBQ	Nhà hàng lẩu nướng với menu phong phú, giá cả bình dân, là lựa chọn phổ biến của giới trẻ.	Phục vụ cả buffet và gọi món, không gian đơn giản, tập trung vào chất lượng đồ nướng và lẩu. Khá đông vào buổi tối và cuối tuần.	4.7	122	87	Lẩu Nướng, Buffet, Bình dân, Ăn tối, Ăn khuya	10:00	14:30	150,000 - 250,000	1116	Đ. Láng	Yên Hoà	Đống Đa	Hà Nội	21.02505520567412, 105.79829819325471	https://maps.google.com/?cid=14850010143497557924&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ	973937916	lau_nuong_ngon_bbq_png	120	https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzH6OQMofhiDWVUvmesMwpaoHAgcOfN1Y1VY-xtUNzBV7k59FLOM71_n1RvsYnT14hZ19pr-TRPV-QT9HBhkWCxVaNHnc0SNfuaqPiXrPySws4aK0U4CZ8D9I1Hj3ib-WyyVLiz=w408-h306-k-no
65	Buffet Lẩu Nướng Safodi	Nhà hàng buffet chuyên Lẩu & Nướng, được đánh giá cao về không gian sạch sẽ và sự đa dạng của quầy line.	Cung cấp nhiều lựa chọn từ thịt, hải sản, đến rau củ và đồ ăn kèm. Phù hợp cho gia đình và tiệc nhóm.	4.7	729	89	Lẩu Nướng, Buffet, Hải sản, Ăn trưa, Ăn tối	10:00	23:00	199,000 - 350,000	315	P. Vũ Tông Phan	Khương Đình	Thanh Xuân	Hà Nội	20.9925047845757, 105.81440030860065	https://maps.google.com/?cid=251891085901572366&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ	886001002	buffet_lau_nuong_safodi_png	120	https://lh3.googleusercontent.com/p/AF1QipNdKE7_QMEAJX6SPss4InFBpyryzu2IHVV9isD9=w408-h544-k-no
66	Lẩu Nướng Corner Z - 342 Xã Đàn	Nhà hàng lẩu nướng phục vụ suốt 24/24, nổi tiếng với sự tiện lợi và đa dạng các loại thịt bò, hải sản.	Điểm đến lý tưởng cho những người cần ăn khuya. Không gian ấm cúng, phục vụ chu đáo.	4.9	1,819	95	Lẩu Nướng, 24/24, Ăn khuya, Thịt nướng, Buffet	12:00	23:59	200,000 - 300,000	342	P. Xã Đàn	Phương Liên	Đống Đa	Hà Nội	21.01419940611755, 105.8350500532712	https://maps.google.com/?cid=6477590711330923545&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ	901706555	lau_nuong_corner_z_342_xa_dan_png	120	https://lh3.googleusercontent.com/p/AF1QipPNFuMm6SzkrUvuyfqo_OmR6s82km-vNfs0TeSP=w408-h305-k-no
67	Nhà Hàng Buffet Lẩu Nướng A Péo	Quán lẩu nướng mới, có rating 5.0 tuyệt đối nhưng số lượng đánh giá còn ít, chuyên về buffet lẩu nướng.	Tập trung vào chất lượng thịt và phục vụ. Là lựa chọn tốt cho những ai tìm kiếm trải nghiệm mới mẻ với mức giá phải chăng.	5	18	85	Lẩu Nướng, Buffet, Ăn trưa, Ăn tối, Giá rẻ	12:00	23:59	150,000 - 250,000	107	P. Tạ Quang Bửu	Khu tập thể Bách Khoa	Hai Bà Trưng	Hà Nội	21.001827520756954, 105.84983021031526	https://maps.google.com/?cid=7366111037039678750&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ	987459463	nha_hang_buffet_lau_nuong_a_peo_png	120	https://i.pinimg.com/1200x/30/f7/2d/30f72d82a94b11ae1164d19b86a4a65e.jpg
68	Samwonjung Vietnam (삼원정)	Nhà hàng Hàn Quốc chuyên phục vụ thịt nướng BBQ, nổi tiếng với chất lượng thịt tươi ngon và không gian sạch sẽ.	Nổi tiếng trong cộng đồng người Hàn tại Hà Nội, chuyên các món BBQ và lẩu Hàn Quốc truyền thống.	4.9	532	93	Món Hàn, BBQ, Thịt nướng, Ăn trưa, Ăn tối	10:00	22:00	300,000 - 600,000	20	P. Nguyễn Quang Bích	Cửa Đông	Hoàn Kiếm	Hà Nội	21.032283397980486, 105.84618777047473	https://maps.google.com/?cid=4718891760325490541&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQ	868414266	samwonjung_vietnam_png	120	https://i.pinimg.com/1200x/f2/50/ae/f250aef97cb9bb760a9d394531a7c236.jpg
